current_track-next_track,current_track,next_track,energy_median,valence_median,tempo_median,energy_ct,valence_ct,tempo_ct,energy_nt,valence_nt,tempo_nt,energy_mid_pont,valence_mid_pont,tempo_mid_pont,diff_energy,diff_valence,diff_tempo,euclidian_dist_midpoint_median,euclidian_dist_track
5QJavZ2sUpPrhyMWItEBJC_1pVz7AJO2UZd5ouOhoIlhS,5QJavZ2sUpPrhyMWItEBJC,1pVz7AJO2UZd5ouOhoIlhS,0.642,0.487,113.815,0.22,0.32299999999999995,70.165,0.614,0.836,76.017,0.417,0.5794999999999999,73.09100000000001,0.394,0.513,5.851999999999991,40.72472660743101,5.887640359261075
544Vnwfg8YSUP6An38yUsT_6RPb92J2rlqC1DK7BWIgpF,544Vnwfg8YSUP6An38yUsT,6RPb92J2rlqC1DK7BWIgpF,0.642,0.487,113.815,0.7929999999999999,0.847,128.046,0.311,0.207,132.19899999999998,0.5519999999999999,0.527,130.1225,0.4819999999999999,0.64,4.152999999999992,16.307797406455606,4.229578347778881
3GZFKiGVYv3SBQ6PLf3JgF_1tU5J8aMqCQe7WtqTkFLQL,3GZFKiGVYv3SBQ6PLf3JgF,1tU5J8aMqCQe7WtqTkFLQL,0.642,0.487,113.815,0.256,0.266,95.288,0.629,0.8440000000000001,96.198,0.4425,0.555,95.743,0.373,0.5780000000000001,0.9099999999999966,18.073229048789266,1.1407510683755655
2ekn2ttSfGqwhhate0LSR0_3NWCPJllg1v12ElS4eQMKV,2ekn2ttSfGqwhhate0LSR0,3NWCPJllg1v12ElS4eQMKV,0.642,0.487,113.815,0.7,0.608,116.073,0.201,0.0763,109.328,0.4505,0.34215,112.7005,0.499,0.5317,6.7450000000000045,1.1400719374232413,6.784300324278095
2ekn2ttSfGqwhhate0LSR0_1tT55K6VEyO6XFDxK4lDQe,2ekn2ttSfGqwhhate0LSR0,1tT55K6VEyO6XFDxK4lDQe,0.642,0.487,113.815,0.7,0.608,116.073,0.181,0.0747,111.956,0.4405,0.34135,114.0145,0.5189999999999999,0.5333,4.11699999999999,0.3187733089516752,4.183713528672813
2CTN6UuO2dNEVZXR0DJVk2_2WfaOiMkCvy7F5fcp2zZ8L,2CTN6UuO2dNEVZXR0DJVk2,2WfaOiMkCvy7F5fcp2zZ8L,0.642,0.487,113.815,0.528,0.376,82.014,0.902,0.8759999999999999,84.412,0.7150000000000001,0.6259999999999999,83.213,0.374,0.4999999999999999,2.3980000000000103,30.602402748803893,2.4779588374305273
2CTN6UuO2dNEVZXR0DJVk2_2PpruBYCo4H7WOBJ7Q2EwM,2CTN6UuO2dNEVZXR0DJVk2,2PpruBYCo4H7WOBJ7Q2EwM,0.642,0.487,113.815,0.528,0.376,82.014,0.974,0.965,79.52600000000002,0.751,0.6705,80.77000000000001,0.4460000000000001,0.589,2.4879999999999707,33.04568925366816,2.5953768512491315
2rzZ0IGxgrGUAPwrWn80z7_21i3JjSTPryzlVKNBiWjxE,2rzZ0IGxgrGUAPwrWn80z7,21i3JjSTPryzlVKNBiWjxE,0.642,0.487,113.815,0.444,0.151,173.707,0.841,0.753,165.634,0.6425,0.452,169.6705,0.397,0.602,8.072999999999979,55.85551096803252,8.105142935198622
2rzZ0IGxgrGUAPwrWn80z7_62bOmKYxYg7dhrC6gH9vFn,2rzZ0IGxgrGUAPwrWn80z7,62bOmKYxYg7dhrC6gH9vFn,0.642,0.487,113.815,0.444,0.151,173.707,0.926,0.861,172.638,0.685,0.506,173.1725,0.4819999999999999,0.71,1.0689999999999884,59.35751861601024,1.3708336879432075
2rzZ0IGxgrGUAPwrWn80z7_5YNHnPXc69TEjEWDgriKdv,2rzZ0IGxgrGUAPwrWn80z7,5YNHnPXc69TEjEWDgriKdv,0.642,0.487,113.815,0.444,0.151,173.707,0.943,0.672,176.05,0.6935,0.41150000000000003,174.8785,0.499,0.521,2.3430000000000177,61.063568391881596,2.451548694193139
