current_track-next_track,current_track,next_track,energy_median,valence_median,tempo_median,energy_ct,valence_ct,tempo_ct,energy_nt,valence_nt,tempo_nt,energy_mid_pont,valence_mid_pont,tempo_mid_pont,diff_energy,diff_valence,diff_tempo,euclidian_dist_midpoint_median,euclidian_dist_track
7sKDftgGirHWTVFMtJoDoh_5600nq7TiBraBX2jobyJ3l,7sKDftgGirHWTVFMtJoDoh,5600nq7TiBraBX2jobyJ3l,0.642,0.487,113.815,0.7959999999999999,0.551,97.976,0.821,0.509,188.098,0.8085,0.53,143.037,0.025000000000000026,0.04200000000000004,90.12200000000001,29.222505971425527,90.12201325425438
2CTN6UuO2dNEVZXR0DJVk2_1uru26I2JKd2mQZt0MDCUe,2CTN6UuO2dNEVZXR0DJVk2,1uru26I2JKd2mQZt0MDCUe,0.642,0.487,113.815,0.528,0.376,82.014,0.531,0.321,164.84799999999996,0.5295000000000001,0.34850000000000003,123.43099999999998,0.003000000000000003,0.05499999999999999,82.83399999999995,9.617655353567194,82.83401831373384
2CTN6UuO2dNEVZXR0DJVk2_7pdF27mSDuPWhppnHAmWHa,2CTN6UuO2dNEVZXR0DJVk2,7pdF27mSDuPWhppnHAmWHa,0.642,0.487,113.815,0.528,0.376,82.014,0.525,0.369,160.14700000000005,0.5265,0.3725,121.08050000000003,0.003000000000000003,0.007000000000000006,78.13300000000005,7.267320052811797,78.13300037116204
2CTN6UuO2dNEVZXR0DJVk2_1roCmBlcpV7LzsmB7pmCyt,2CTN6UuO2dNEVZXR0DJVk2,1roCmBlcpV7LzsmB7pmCyt,0.642,0.487,113.815,0.528,0.376,82.014,0.569,0.44,150.267,0.5485,0.40800000000000003,116.1405,0.040999999999999925,0.064,68.253,2.328719283211273,68.25304232047097
2CTN6UuO2dNEVZXR0DJVk2_708L4ld9wD2pjoqKwaxkXa,2CTN6UuO2dNEVZXR0DJVk2,708L4ld9wD2pjoqKwaxkXa,0.642,0.487,113.815,0.528,0.376,82.014,0.55,0.319,159.971,0.539,0.34750000000000003,120.9925,0.02200000000000002,0.057,77.95700000000002,7.179594382693226,77.95702394268268
2CTN6UuO2dNEVZXR0DJVk2_4ptF2Hvq7PdsDKXV0o7x2M,2CTN6UuO2dNEVZXR0DJVk2,4ptF2Hvq7PdsDKXV0o7x2M,0.642,0.487,113.815,0.528,0.376,82.014,0.552,0.361,172.82299999999995,0.54,0.3685,127.41849999999997,0.024000000000000014,0.015000000000000013,90.80899999999995,13.604398498279854,90.80900441035564
0DC7Zs2qvAbNK1owWQ4mlL_1rfofaqEpACxVEHIZBJe6W,0DC7Zs2qvAbNK1owWQ4mlL,1rfofaqEpACxVEHIZBJe6W,0.642,0.487,113.815,0.546,0.402,179.847,0.523,0.394,104.988,0.5345,0.398,142.41750000000002,0.02300000000000002,0.008000000000000063,74.85900000000002,28.602840479574773,74.8590039607795
0DC7Zs2qvAbNK1owWQ4mlL_37FXw5QGFN7uwwsLy8uAc0,0DC7Zs2qvAbNK1owWQ4mlL,37FXw5QGFN7uwwsLy8uAc0,0.642,0.487,113.815,0.546,0.402,179.847,0.563,0.35200000000000004,100.017,0.5545,0.377,139.93200000000002,0.016999999999999904,0.04999999999999999,79.83,26.11737822312954,79.8300174683684
0DC7Zs2qvAbNK1owWQ4mlL_2YlZnw2ikdb837oKMKjBkW,0DC7Zs2qvAbNK1owWQ4mlL,2YlZnw2ikdb837oKMKjBkW,0.642,0.487,113.815,0.546,0.402,179.847,0.53,0.417,108.038,0.538,0.4095,143.9425,0.016000000000000014,0.015000000000000013,71.80900000000003,30.1277791830065,71.8090033491623
0DC7Zs2qvAbNK1owWQ4mlL_1wjzFQodRWrPcQ0AnYnvQ9,0DC7Zs2qvAbNK1owWQ4mlL,1wjzFQodRWrPcQ0AnYnvQ9,0.642,0.487,113.815,0.546,0.402,179.847,0.505,0.419,91.97,0.5255000000000001,0.4105,135.9085,0.041000000000000036,0.01699999999999996,87.87700000000002,22.093939593245935,87.87701120884803
0DC7Zs2qvAbNK1owWQ4mlL_1DUSuNhF8P5vUGNPpQiZa5,0DC7Zs2qvAbNK1owWQ4mlL,1DUSuNhF8P5vUGNPpQiZa5,0.642,0.487,113.815,0.546,0.402,179.847,0.568,0.391,84.999,0.5569999999999999,0.3965,132.423,0.02199999999999991,0.01100000000000001,94.848,18.608414205675885,94.84800318931339
0DC7Zs2qvAbNK1owWQ4mlL_6S04kOaQsvm633KXgHwAFf,0DC7Zs2qvAbNK1owWQ4mlL,6S04kOaQsvm633KXgHwAFf,0.642,0.487,113.815,0.546,0.402,179.847,0.5770000000000001,0.451,100.034,0.5615000000000001,0.4265,139.94050000000001,0.031000000000000024,0.04899999999999999,79.81300000000002,26.1256940721199,79.81302106172902
0DC7Zs2qvAbNK1owWQ4mlL_1ymEwygMMg5JwVAnh3C7yY,0DC7Zs2qvAbNK1owWQ4mlL,1ymEwygMMg5JwVAnh3C7yY,0.642,0.487,113.815,0.546,0.402,179.847,0.575,0.419,111.93,0.5605,0.4105,145.88850000000002,0.028999999999999918,0.01699999999999996,67.917,32.073694778587665,67.91700831897707
