track_id,category_id,album_name,artist_name,playlist_name,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
2YyvWje3cEYyqgYhNUIaBJ,pop,"Love, me",Lennon Stella,Pop Sauce,La Di Da,spotify:track:2YyvWje3cEYyqgYhNUIaBJ,209773,81,0.195,0.6890000000000001,0.679,0.475,149.972,0.00111,7,1,0.224,-5.893,0.0517
4SX4NUI58M3KhbalXxjwFC,pop,A Prayer,JNR WILLIAMS,Stay Tuned!,A Prayer,spotify:track:4SX4NUI58M3KhbalXxjwFC,204431,47,0.322,0.376,0.637,0.438,77.67,0.0,10,0,0.0833,-6.7010000000000005,0.276
2hnxrRNzF74mdDzpQZQukQ,pop,There's No Way (feat. Julia Michaels),"Lauv,Julia Michaels",Mega Hit Mix,There's No Way (feat. Julia Michaels),spotify:track:2hnxrRNzF74mdDzpQZQukQ,174861,85,0.49,0.755,0.625,0.374,147.02,0.0,2,1,0.157,-7.114,0.0896
5GT8b1dFaOWFF5twsmSOYx,pop,The Best You Had,Nina Nesbitt,Soft Pop Hits,The Best You Had,spotify:track:5GT8b1dFaOWFF5twsmSOYx,175061,70,0.358,0.595,0.608,0.452,60.878,0.0,5,0,0.0843,-5.303,0.0373
1roCmBlcpV7LzsmB7pmCyt,pop,Let Me Down Slowly (feat. Alessia Cara),"Alec Benjamin,Alessia Cara",Chilled Pop Hits,Let Me Down Slowly (feat. Alessia Cara),spotify:track:1roCmBlcpV7LzsmB7pmCyt,169175,77,0.716,0.655,0.569,0.44,150.267,7.400000000000001e-06,1,0,0.135,-5.018,0.0349
2CTN6UuO2dNEVZXR0DJVk2,pop,Phoenix (Deluxe),Rita Ora,Girls Only,Only Want You,spotify:track:2CTN6UuO2dNEVZXR0DJVk2,180760,79,0.0599,0.654,0.528,0.376,82.014,7.140000000000001e-05,6,0,0.0975,-6.224,0.0412
708L4ld9wD2pjoqKwaxkXa,pop,Braver Times,Someone,Troubadour,Braver Times,spotify:track:708L4ld9wD2pjoqKwaxkXa,271473,27,0.168,0.446,0.55,0.319,159.971,0.162,7,1,0.204,-7.252999999999999,0.0301
5R96PHcqOGjgj23D98F6mf,pop,Caer,"Twin Shadow,Rainsford",Left of Center,Brace (feat. Rainsford),spotify:track:5R96PHcqOGjgj23D98F6mf,206561,58,0.417,0.695,0.565,0.302,67.992,3.69e-05,10,1,0.0979,-5.806,0.0382
7pdF27mSDuPWhppnHAmWHa,pop,SKINS,XXXTENTACION,Hot Rhythmic,whoa (mind in awe),spotify:track:7pdF27mSDuPWhppnHAmWHa,157777,87,0.653,0.735,0.525,0.369,160.14700000000005,0.918,6,0,0.101,-2.939,0.0441
4825x6Yy20mNZ4Ll5XyA9g,pop,Only Ticket Home,Gavin James,Everyday Favorites,Cigarette Break,spotify:track:4825x6Yy20mNZ4Ll5XyA9g,245789,41,0.127,0.446,0.527,0.331,69.657,0.0,2,1,0.113,-6.224,0.0347
