track_id,category_id,album_name,artist_name,playlist_name,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
191HHrs8Bwa8VZ4IJ2iG67,pop,The Sing-Off: Season 3: Episode 7 - Superstar Medleys,The Dartmouth Aires,All A Cappella,Medley: Killer Queen / Bohemian Rhapsody / Somebody To Love,spotify:track:191HHrs8Bwa8VZ4IJ2iG67,204160,22,0.7,0.438,0.653,0.311,108.36,0.0,9,1,0.944,-7.2,0.36
3qLBz3j26AHO2jBYUQWLA6,pop,Woke Up Late (feat. Hailee Steinfeld),"Drax Project,Hailee Steinfeld",Fresh & Chill,Woke Up Late (feat. Hailee Steinfeld),spotify:track:3qLBz3j26AHO2jBYUQWLA6,181859,79,0.043,0.698,0.66,0.35100000000000003,119.214,0.0,2,0,0.18600000000000005,-5.4289999999999985,0.083
0Jw6f9OfWddSnuBQ5hJHHl,pop,Loyal to Me,Nina Nesbitt,Pop Sauce,Loyal to Me,spotify:track:0Jw6f9OfWddSnuBQ5hJHHl,191479,65,0.105,0.8390000000000001,0.63,0.393,106.0,0.0,9,1,0.0669,-7.0470000000000015,0.0805
4qCgKKXa3CF6CzEDLW6vTt,pop,Beautiful Trauma,P!nk,Love For Pop,Secrets,spotify:track:4qCgKKXa3CF6CzEDLW6vTt,210093,67,0.008159999999999999,0.716,0.62,0.458,119.908,3.29e-06,9,0,0.0718,-5.586,0.0438
6RUKPb4LETWmmr3iAEQktW,pop,Memories...Do Not Open,"The Chainsmokers,Coldplay",Workday: Pop,Something Just Like This,spotify:track:6RUKPb4LETWmmr3iAEQktW,247160,83,0.0498,0.617,0.635,0.446,103.019,1.44e-05,11,0,0.16399999999999998,-6.769,0.0317
0RU0In1Bg1jlUxb9Euk8Ra,pop,Lullaby (Martin Jensen Remix),"Sigala,Paloma Faith,Martin Jensen",Massive Pop Remixes,Lullaby - Martin Jensen Remix,spotify:track:0RU0In1Bg1jlUxb9Euk8Ra,179392,53,0.0262,0.703,0.633,0.499,126.036,0.0,5,0,0.0663,-5.945,0.0782
6kPJZM97LwdG9QIsT7khp6,pop,Solo (feat. Demi Lovato),"Clean Bandit,Demi Lovato",Teen Party,Solo (feat. Demi Lovato),spotify:track:6kPJZM97LwdG9QIsT7khp6,222653,87,0.0441,0.737,0.636,0.565,105.005,6.659999999999999e-05,11,0,0.35,-4.546,0.0437
6X6SdJzxyw7GzxwP2fr9WV,pop,All I Am,Jess Glynne,Everyday Favorites,All I Am,spotify:track:6X6SdJzxyw7GzxwP2fr9WV,218868,77,0.0445,0.74,0.669,0.536,122.007,0.0,0,1,0.184,-5.199,0.0373
4BiiOzZCrXEzHRLYcYFiD5,pop,Sick Boy,"The Chainsmokers,Winona Oak",Love For Pop,Hope,spotify:track:4BiiOzZCrXEzHRLYcYFiD5,180120,88,0.488,0.773,0.6990000000000001,0.513,104.941,3.6000000000000007e-06,1,0,0.0814,-5.982,0.0958
6ml4HmG8o9zcqUiR3HW0Jb,pop,Somebody Like You (feat. Saro),"DVBBS,Saro",New Music Friday NL,Somebody Like You (feat. Saro),spotify:track:6ml4HmG8o9zcqUiR3HW0Jb,182592,59,0.0276,0.6890000000000001,0.735,0.541,122.003,3.35e-05,6,1,0.149,-7.837999999999999,0.0411
